managing_agency,fms_id,year-month_reported,total_budget,spend_to_date,spend_to_date_percent,budget_variance,budget_variance_percent
42,BA002-024,202310,450000,,,0,0
42,BA013-013,201301,570000,,,,
42,BA013-013,202305,569816,411816,0.7227,-184,-0.0003
42,BA013-013,202309,568816,411816,0.7239,-1000,-0.0017
42,BA015-014,201405,1250000,,,,
42,BA015-014,202305,1250000,1250000,1,0,0
42,BA015-014,202309,1250000,1250000,1,0,0
42,BA024-018,201804,250000,,,,
42,BA024-018,202305,250000,0,0,0,0
42,BA024-018,202309,250000,0,0,0,0
42,BA025-018,201804,500000,,,,
42,BA025-018,202305,260000,0,0,-240000,-0.48
42,BA025-018,202309,260000,0,0,0,0
42,BA030-020,201910,1950000,,,,
42,BA030-020,202305,1950000,0,0,0,0
42,BA030-020,202309,1950000,0,0,0,0
42,BX001-021,202011,350000,,,,
42,BX001-021,202305,350000,0,0,0,0
42,BX001-021,202309,350000,0,0,0,0
42,BX001-023,202205,500000,,,,
42,BX001-023,202305,575000,0,0,75000,0.15
42,BX001-023,202309,575000,0,0,0,0
42,BX001-024,202305,500000,0,0,,
42,BX001-024,202305,500000,,,0,0
42,BX001-024,202309,1000000,0,0,500000,1
42,BX002-023,202210,425000,,,,
42,BX002-023,202305,425000,0,0,0,0
42,BX002-023,202309,425000,0,0,0,0
42,BX006-022,202110,1150000,,,,
42,BX006-022,202305,1150000,0,0,0,0
42,BX006-022,202309,1150000,0,0,0,0
42,BX022-009,200811,1093000,,,,
42,BX022-009,202305,1092325,925519,0.8472,-675,-0.0006
42,BX022-009,202309,1092325,925519,0.8472,0,0
42,BX024-011,201009,3000000,,,,
42,BX024-011,202305,15956109,12241795,0.7672,12956109,4.3187
42,BX024-011,202309,15956109,12241795,0.7672,0,0
42,BX026-013,201210,300000,,,,
42,BX026-013,202305,299590,28448,0.0949,-410,-0.0013
42,BX026-013,202309,284448,28448,0.1,-15142,-0.0505
42,BX027-015,201410,375000,,,,
42,BX027-015,202305,500000,28860,0.0577,125000,0.3333
42,BX027-015,202309,453860,28860,0.0635,-46140,-0.0922
42,BX031-009,201405,1500000,,,,
42,BX031-009,202305,2497507,2380779,0.9532,997507,0.665
42,BX031-009,202309,2497507,2380779,0.9532,0,0
42,BX038-016,201509,250000,,,,
42,BX038-016,202305,1162600,0,0,912600,3.6504
42,BX038-016,202309,1410600,0,0,248000,0.2133
42,BX040-017,201604,4500000,,,,
42,BX040-017,202305,8069739,557392,0.069,3569739,0.7932
42,BX040-017,202309,8069739,557392,0.069,0,0
42,BX041-017,201610,150000,,,,
42,BX041-017,202305,150065,24841,0.1655,65,0.0004
42,BX041-017,202309,33065,24841,0.7512,-117000,-0.7796
42,BX042-018,201804,500000,,,,
42,BX042-018,202305,500000,0,0,0,0
42,BX042-018,202309,500000,0,0,0,0
42,BX044-018,201804,500000,,,,
42,BX044-018,202305,500000,0,0,0,0
42,BX044-018,202309,500000,0,0,0,0
42,BX045-018,201804,400000,,,,
42,BX045-018,202305,400000,0,0,0,0
42,BX045-018,202309,400000,0,0,0,0
42,BX046-019,201809,3000000,,,,
42,BX046-019,202305,3000000,0,0,0,0
42,BX046-019,202309,3000000,0,0,0,0
42,BX047-020,201910,500000,,,,
42,BX047-020,202305,500000,0,0,0,0
42,BX047-020,202309,500000,0,0,0,0
42,BX048-020,201910,1008000,,,,
42,BX048-020,202305,1008000,0,0,0,0
